timestamp,machine_name,gpu_info,gpu_memory,platform,model,trials_run,unique_conversations,duplicates_found,duplicate_rate,avg_latency_s,avg_tokens_per_sec
2025-09-27T18:28:22.271575,EPM_DELL,NVIDIA GeForce RTX 3080,10240MB,Windows-11-10.0.26100-SP0,google/gemma-3-1b,10,10,0,0.0,5.0200028896331785,102.15365173314343
2025-09-27T19:09:04.695151,EPM_DELL,NVIDIA GeForce RTX 3080,10240MB,Windows-11-10.0.26100-SP0,mistralai/mistral-small-3.2,10,10,0,0.0,243.16813819408418,2.057349784527919
2025-09-27T19:34:13.279751,EPM_DELL,NVIDIA GeForce RTX 3080,10240MB,Windows-11-10.0.26100-SP0,fusechat-gemma-2-9b-instruct,10,10,0,0.0,149.7762135028839,3.4191849355372073
2025-09-27T19:52:43.905131,EPM_DELL,NVIDIA GeForce RTX 3080,10240MB,Windows-11-10.0.26100-SP0,meta-llama-3-8b-instruct,10,10,0,0.0,109.98246355056763,4.3679734003845265
2025-09-27T19:58:23.547040,EPM_DELL,NVIDIA GeForce RTX 3080,10240MB,Windows-11-10.0.26100-SP0,liquid/lfm2-1.2b,10,10,0,0.0,32.88205978870392,12.359705918360126
2025-09-27T20:11:24.164426,EPM_DELL,NVIDIA GeForce RTX 3080,10240MB,Windows-11-10.0.26100-SP0,google/gemma-3-4b,10,10,0,0.0,76.97761471271515,6.656548814071885
2025-09-27T20:40:01.267979,EPM_DELL,NVIDIA GeForce RTX 3080,10240MB,Windows-11-10.0.26100-SP0,deepseek/deepseek-r1-0528-qwen3-8b,10,10,0,0.0,170.6255378484726,3.0010492876102526
2025-09-27T20:56:39.279604,EPM_DELL,NVIDIA GeForce RTX 3080,10240MB,Windows-11-10.0.26100-SP0,mistralai/mistral-7b-instruct-v0.3,10,10,0,0.0,98.71439323425292,4.42813165153227
2025-09-27T21:15:14.012814,EPM_DELL,NVIDIA GeForce RTX 3080,10240MB,Windows-11-10.0.26100-SP0,google/gemma-3n-e4b,10,10,0,0.0,110.38940937519074,4.5961729133648195
2025-09-27T21:43:01.481446,EPM_DELL,NVIDIA GeForce RTX 3080,10240MB,Windows-11-10.0.26100-SP0,llama3-12b-instruct,10,10,0,0.0,165.660942530632,3.089858114698523
