filename,directory,status,has_agent,has_patient_content,speaker_count,reason
2024-03-22T03_55_53Zcall866848c6-6c0c-4eac-be0c-04fa115f48ea.json,22,ERROR,False,False,0,Error: 'NoneType' object has no attribute 'get'
2024-03-22T13_38_16Zcall110f7808-011a-42d7-b884-226a7c861338.json,22,HAS_PATIENT,False,False,2,Two speakers + conversational
2024-03-22T13_38_25Zcallc1e9f04d-f8c5-49e4-bf48-16d2ee912f26.json,22,HAS_PATIENT,False,False,2,Two speakers + conversational
2024-03-22T15_04_43Zcallb3f29a39-a486-4e9b-ba4c-aaaaef48f9a2.json,22,NO_PATIENT,False,True,1,No patient content
2024-03-22T15_04_54Zcalla399df5f-b46a-4892-a0ec-9be8c717c47e.json,22,NO_PATIENT,False,True,1,No patient content
2024-03-22T15_17_33Zcall6d6cb84c-ba78-47a1-a766-8e3c0e792d21.json,22,NO_PATIENT,False,True,1,No patient content
2024-03-22T15_17_46Zcallddc9ecc5-053a-4009-bcb9-7f3663ff9a1e.json,22,NO_PATIENT,False,True,1,No patient content
2024-03-22T15_19_59Zcall6da58926-004a-4a41-8785-cc2e803a1ccb.json,22,NO_PATIENT,False,True,1,No patient content
2024-03-22T15_20_07Zcall115ba300-08bd-4624-8099-140b6a4873af.json,22,HAS_PATIENT,False,True,2,Two speakers + conversational
2024-03-22T15_31_11Zcall6f188290-b6bc-4e44-8128-cde03c460529.json,22,NO_PATIENT,False,True,2,No patient content
2024-03-22T15_31_17Zcall6c22179a-be5c-4790-a61d-dc1161551465.json,22,NO_PATIENT,False,True,2,No patient content
2024-03-22T15_37_40Zcall12d9c5b7-e772-4725-8f92-0eeefa308e8c.json,22,NO_PATIENT,False,False,2,No patient content
2024-03-22T15_37_45Zcall5b077e86-550d-4454-8c9b-829c1603225d.json,22,NO_PATIENT,False,False,2,No patient content
2024-03-22T15_46_13Zcall9176a11c-ba66-4c0b-aa37-35a10c13c200.json,22,HAS_PATIENT,False,True,2,Two speakers + conversational
2024-03-22T15_46_27Zcall44dc7eeb-0436-4b0f-a9f6-b31fab6a8276.json,22,HAS_PATIENT,False,True,2,Two speakers + conversational
2024-03-22T15_47_50Zcalle6c226ca-abb8-49d3-a224-1b6c8166a029.json,22,NO_PATIENT,False,True,2,No patient content
2024-03-22T15_47_59Zcallc84d1c0a-4d5d-49bb-ba5f-e8ce200c8d22.json,22,NO_PATIENT,False,True,1,No patient content
2024-03-22T15_51_02Zcall7fb17b95-0a8e-44d3-bdc9-20d228772e26.json,22,NO_PATIENT,False,True,1,No patient content
2024-03-22T15_51_13Zcall8df9ac8e-f951-40d9-a880-0c03cd828e00.json,22,NO_PATIENT,False,True,1,No patient content
2024-03-27T15_00_59Zcallbb0f8753-6103-4417-a5c6-98742add6fd7.json,27,HAS_PATIENT,True,True,2,Agent + patient content
