trial_id,timestamp,machine_name,gpu_info,gpu_memory,platform,model,trial,latency_s,completion_tokens,tokens_per_sec,unique,duplicate_reason,sample_output
google/gemma-3-1b_1_1759004878,2025-09-27T16:27:58.493510,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,google/gemma-3-1b,1,122.03606176376343,0,0,False,error,
google/gemma-3-1b_2_1759005011,2025-09-27T16:30:11.975642,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,google/gemma-3-1b,2,122.02466154098511,0,0,False,error,
google/gemma-3-1b_3_1759005218,2025-09-27T16:33:38.577721,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,google/gemma-3-1b,3,5.91962194442749,347,58.61860829248611,False,semantic_similarity_0.907,"User: Hi, I’d like to schedule an appointment with Dr. Ramirez.

Agent: Certainly! Welcome to Serenity Health. My name is Alex. Let’s get this sorted out for you. First, could you please tell me what type of appointment you’re looking for?

User: I need a check-up, just a general one.

Agent: Okay, a general check-up. And when are you thinking of scheduling that? Do you have a specific date in mind?

User: Next Tuesday afternoon would be good. Around 2 pm?

Agent: Let me check our availability f"
google/gemma-3-1b_4_1759005329,2025-09-27T16:35:29.540328,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,google/gemma-3-1b,4,17.61785912513733,449,25.48550290990592,False,semantic_similarity_0.907,"User: Hi, I’d like to schedule an appointment with Dr. Lee.

Agent: Certainly! Let me check availability for you.  One moment… Okay, we have openings on Tuesday at 2 PM and Wednesday at 9 AM. Do either of those work for you?

User: Tuesday at 2 PM would be great, actually.

Agent: Perfect! Let’s book that for you. Can I get your full name and date of birth, please?

User: It’s Sarah Miller, born in 1988.

Agent: Thank you, Sarah. And what’s the reason for this appointment today?

User:  Well, my"
phi-3-mini-4k-instruct_1_1759005374,2025-09-27T16:36:14.862417,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,phi-3-mini-4k-instruct,1,7.78860330581665,512,65.73707504368986,False,semantic_similarity_0.909,"User: Hi, I’d like to schedule an appointment.

Agent: Certainly! To help me find the right time for you, could you tell me what kind of appointment you're looking for?  Are you here with a specific doctor or just needing a general check-up?

User: Well, my primary concern is a follow-up appointment with Dr. Lee. I’ve been feeling a little under the weather lately.

Agent: Okay, a follow-up with Dr. Lee. Let me check his availability…  (pause – sounds of keyboard clicking) … Yes, we have an open"
phi-3-mini-4k-instruct_2_1759005408,2025-09-27T16:36:48.967627,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,phi-3-mini-4k-instruct,2,12.334826946258545,408,33.07707532319749,False,semantic_similarity_0.872,"User: Hi, I’d like to schedule an appointment with Dr. Lee.

Agent: Certainly! Let me check his availability. One moment… Okay, Dr. Lee is currently booked for next week. Do you have any specific dates or times in mind?

User: Not really, just anything that works for the afternoon. Preferably between 2 and 4 pm.

Agent: Alright, let me see what we have available then. It looks like we have a slot at 2:30 pm today, and another at 3:15 pm tomorrow. Would either of those work for you?

User: The 3:"
phi-3-mini-4k-instruct_3_1759005476,2025-09-27T16:37:56.481262,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,phi-3-mini-4k-instruct,3,25.257062911987305,500,19.79644275117571,False,semantic_similarity_0.954,"User: Hi, I’d like to schedule an appointment.

Agent: Certainly! Let me pull up your file. Could you just confirm your name and date of birth for me?

User: My name is Sarah Miller, and my birthday is July 12th, 1985.

Agent: Thank you, Ms. Miller. And what kind of appointment are you looking for today? Are there any specific doctors you'd prefer to see?

User: I’d like to see Dr. Chen.  I’ve been having some back pain lately.

Agent: Okay, Dr. Chen it is. Let me check his availability…  Hmm, h"
phi-3-mini-4k-instruct_4_1759005536,2025-09-27T16:38:56.792427,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,phi-3-mini-4k-instruct,4,14.366077899932861,512,35.63951160270353,False,semantic_similarity_0.902,"User: Hi, I’d like to schedule an appointment with Dr. Lee.

Agent: Certainly! Let me check availability for you. One moment… Okay, we have openings on Tuesday at 2 PM, Wednesday at 10 AM, and Thursday at 3 PM.  Do either of those times work for you?

User: Tuesday at 2 PM would be great. It’s a bit early, actually.

Agent: No problem at all. Let me just confirm that – Tuesday at 2 PM with Dr. Lee. Is that correct?

User: Yes, that's perfect.  I have a slight issue with my insurance coverage.

A"
phi-3-mini-4k-instruct:2_1_1759005552,2025-09-27T16:39:12.632418,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,phi-3-mini-4k-instruct:2,1,10.604547500610352,460,43.3776170056784,False,semantic_similarity_0.873,"User: Hi, I’d like to schedule an appointment with Dr. Lee.

Agent: Certainly! Let me check availability for you.  Just one moment… Okay, we have openings on Tuesday afternoon and Wednesday morning. Do either of those work for you?

User: Tuesday afternoon would be great. It’s around 2 PM.

Agent: Perfect. Let me just confirm that – Tuesday at 2 PM with Dr. Lee. Is that correct?

User: Yes, that's right.  And I have a slight issue with my insurance coverage.

Agent: Okay, let me pull up your ins"
phi-3-mini-4k-instruct:2_2_1759005687,2025-09-27T16:41:27.455347,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,phi-3-mini-4k-instruct:2,2,20.766238689422607,512,24.6554037857992,False,semantic_similarity_0.912,"User: Hi, I’d like to schedule an appointment.

Agent: Certainly! To help me find the best time for you, could you tell me what type of appointment you're looking for?  Are you here for a check-up, a specialist consultation, or something else?

User: It’s a follow-up appointment with Dr. Lee about my blood pressure.

Agent: Okay, a follow-up to your blood pressure check-up with Dr. Lee. Let me quickly check our availability…  Hmm, we have an opening on Tuesday afternoon at 2 PM and Wednesday mor"
phi-3-mini-4k-instruct:2_3_1759005712,2025-09-27T16:41:52.233884,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,phi-3-mini-4k-instruct:2,3,10.914898157119751,512,46.908362554535074,False,semantic_similarity_0.938,"User: Hi, I’d like to schedule an appointment for a checkup.

Agent: Certainly! To help me find the right time for you, could you tell me what kind of appointment you're looking for?  Are you interested in a routine checkup, or something more specific like a specialist consultation?

User: Hmm, I think a routine checkup would be fine, just to make sure everything’s okay.

Agent: Okay, a routine checkup. Let me check our availability… Alright, we have an opening on Tuesday afternoon at 2 PM. Woul"
phi-3-mini-4k-instruct:2_4_1759005753,2025-09-27T16:42:33.666101,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,phi-3-mini-4k-instruct:2,4,20.05569338798523,512,25.52891042434484,False,semantic_similarity_0.925,"User: Hi, I’d like to schedule an appointment with Dr. Lee.

Agent: Good morning! Certainly. Let me check availability for you.  Just one moment… Okay, we have openings on Tuesday at 2 PM and Wednesday at 3:30 PM. Do either of those work for you?

User: Tuesday at 2 PM would be great, if possible. 

Agent: Perfect. Let’s book that for you. What’s your date of birth?

User: It’s January 15th.

Agent: Thank you. And could you please tell me a little bit about what you're experiencing?  Just to hel"
phi-3-mini-4k-instruct:3_1_1759005848,2025-09-27T16:44:08.969517,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,phi-3-mini-4k-instruct:3,1,2.0422229766845703,0,0,False,api_error,
phi-3-mini-4k-instruct:3_2_1759005931,2025-09-27T16:45:31.089739,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,phi-3-mini-4k-instruct:3,2,2.0644116401672363,0,0,False,api_error,
phi-3-mini-4k-instruct:3_3_1759006016,2025-09-27T16:46:56.079904,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,phi-3-mini-4k-instruct:3,3,2.0541746616363525,0,0,False,api_error,
phi-3-mini-4k-instruct:3_4_1759006054,2025-09-27T16:47:34.813640,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,phi-3-mini-4k-instruct:3,4,2.065823793411255,0,0,False,api_error,
