trial_id,timestamp,machine_name,gpu_info,gpu_memory,platform,model,trial,latency_s,completion_tokens,tokens_per_sec,unique,duplicate_reason,sample_output
google/gemma-3-1b_1_1759006191,2025-09-27T16:49:51.180871,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,google/gemma-3-1b,1,19.28947687149048,438,22.706681104833724,False,semantic_similarity_0.878,"User: Hi, I’d like to schedule an appointment.

Agent: Certainly! To help me find a good time for you, could you tell me what kind of appointment you need?  Are you looking for something general check-up, or something more specific like a specialist visit?

User: Well, my back has been bothering me lately – I think it might be a muscle strain. 

Agent: Okay, a back strain. Let’s see… We have availability on Tuesday afternoons and Wednesday mornings. Do either of those work for you?  We also have"
google/gemma-3-1b_2_1759006213,2025-09-27T16:50:13.064336,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,google/gemma-3-1b,2,18.460635900497437,512,27.734689246874954,False,semantic_similarity_0.909,"User: Hi, I’d like to schedule an appointment with Dr. Lee.

Agent: Certainly! Welcome to [Clinic Name]. Could you please tell me your name and date of birth?

User: It's Sarah Miller, born on July 12th, 1985.

Agent: Thank you, Ms. Miller. Let me check availability for you. One moment… Okay, we have an opening on Tuesday at 2 PM. Would that work for you?

User: Yes, 2 PM works perfectly.  I’m a little anxious about having to wait, though.

Agent: I understand. Waiting can be stressful. Do you h"
google/gemma-3-1b_3_1759006225,2025-09-27T16:50:25.559329,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,google/gemma-3-1b,3,9.130573272705078,512,56.07533992751277,True,unique,"User: Hi, I’d like to schedule an appointment for my back pain.

Agent: Certainly! To help me find a suitable time for you, could you tell me what kind of appointment you need – a check-up, physical therapy, or something else?

User: It’s just a general check-up, really. I’ve been having some stiffness lately.

Agent: Okay, a general check-up. Let me pull up your file and see what’s available. One moment… Alright, we have openings on Tuesday afternoon and Wednesday morning. Would either of those"
phi-3-mini-4k-instruct_1_1759006365,2025-09-27T16:52:45.988081,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,phi-3-mini-4k-instruct,1,139.3797128200531,0,0,False,error,
phi-3-mini-4k-instruct_2_1759006489,2025-09-27T16:54:49.119111,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,phi-3-mini-4k-instruct,2,122.08241152763367,0,0,False,error,
phi-3-mini-4k-instruct_3_1759006612,2025-09-27T16:56:52.214581,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,phi-3-mini-4k-instruct,3,122.03625774383545,0,0,False,error,
phi-3-mini-4k-instruct_4_1759006735,2025-09-27T16:58:55.287909,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,phi-3-mini-4k-instruct,4,122.02861833572388,0,0,False,error,
microsoft/phi-4-mini-reasoning_1_1759006862,2025-09-27T17:01:02.424269,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,microsoft/phi-4-mini-reasoning,1,122.07887005805969,0,0,False,error,
microsoft/phi-4-mini-reasoning_2_1759006988,2025-09-27T17:03:08.196527,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,microsoft/phi-4-mini-reasoning,2,122.07055020332336,0,0,False,error,
microsoft/phi-4-mini-reasoning_3_1759007061,2025-09-27T17:04:21.314760,MSI-Laptop-4050,NVIDIA GeForce RTX 4050 Laptop GPU,6141MB,Windows-10-10.0.26100-SP0,microsoft/phi-4-mini-reasoning,3,40.73234987258911,0,0,False,api_error,
